,GEO_ID,NAME,Num_HH,Med_Inc_HH
205,1400000US17031170100,"Census Tract 1701, Cook County, Illinois",1055,44476
206,1400000US17031170200,"Census Tract 1702, Cook County, Illinois",1170,58176
207,1400000US17031170300,"Census Tract 1703, Cook County, Illinois",1956,60852
208,1400000US17031170400,"Census Tract 1704, Cook County, Illinois",1398,73621
209,1400000US17031170500,"Census Tract 1705, Cook County, Illinois",1897,72326
210,1400000US17031170600,"Census Tract 1706, Cook County, Illinois",962,70758
211,1400000US17031170700,"Census Tract 1707, Cook County, Illinois",1060,73021
212,1400000US17031170800,"Census Tract 1708, Cook County, Illinois",1363,61504
213,1400000US17031170900,"Census Tract 1709, Cook County, Illinois",618,57586
214,1400000US17031171000,"Census Tract 1710, Cook County, Illinois",2622,51800
215,1400000US17031171100,"Census Tract 1711, Cook County, Illinois",1296,58250
216,1400000US17031180100,"Census Tract 1801, Cook County, Illinois",2091,58425
217,1400000US17031190100,"Census Tract 1901, Cook County, Illinois",798,34583
218,1400000US17031190200,"Census Tract 1902, Cook County, Illinois",1637,41829
219,1400000US17031190300,"Census Tract 1903, Cook County, Illinois",1849,45174
220,1400000US17031190401,"Census Tract 1904.01, Cook County, Illinois",1288,51715
221,1400000US17031190402,"Census Tract 1904.02, Cook County, Illinois",1635,40528
222,1400000US17031190601,"Census Tract 1906.01, Cook County, Illinois",1248,56202
223,1400000US17031190602,"Census Tract 1906.02, Cook County, Illinois",1307,45216
224,1400000US17031190701,"Census Tract 1907.01, Cook County, Illinois",866,47778
225,1400000US17031190702,"Census Tract 1907.02, Cook County, Illinois",1222,42018
226,1400000US17031190800,"Census Tract 1908, Cook County, Illinois",1949,42623
227,1400000US17031190900,"Census Tract 1909, Cook County, Illinois",608,45529
228,1400000US17031191000,"Census Tract 1910, Cook County, Illinois",613,37263
229,1400000US17031191100,"Census Tract 1911, Cook County, Illinois",2073,36472
230,1400000US17031191200,"Census Tract 1912, Cook County, Illinois",926,32885
231,1400000US17031191301,"Census Tract 1913.01, Cook County, Illinois",1478,42315
232,1400000US17031191302,"Census Tract 1913.02, Cook County, Illinois",1242,38855
233,1400000US17031200100,"Census Tract 2001, Cook County, Illinois",1262,47549
234,1400000US17031200200,"Census Tract 2002, Cook County, Illinois",1658,47344
235,1400000US17031200300,"Census Tract 2003, Cook County, Illinois",609,35125
236,1400000US17031200401,"Census Tract 2004.01, Cook County, Illinois",935,48560
237,1400000US17031200402,"Census Tract 2004.02, Cook County, Illinois",1139,37420
238,1400000US17031210100,"Census Tract 2101, Cook County, Illinois",1448,63141
239,1400000US17031210400,"Census Tract 2104, Cook County, Illinois",932,39167
240,1400000US17031210501,"Census Tract 2105.01, Cook County, Illinois",1383,35581
241,1400000US17031210502,"Census Tract 2105.02, Cook County, Illinois",1504,42067
242,1400000US17031210601,"Census Tract 2106.01, Cook County, Illinois",964,42238
243,1400000US17031210602,"Census Tract 2106.02, Cook County, Illinois",1612,50181
244,1400000US17031210700,"Census Tract 2107, Cook County, Illinois",1623,45586
245,1400000US17031210800,"Census Tract 2108, Cook County, Illinois",401,45144
246,1400000US17031210900,"Census Tract 2109, Cook County, Illinois",1151,52132
247,1400000US17031220300,"Census Tract 2203, Cook County, Illinois",994,71625
248,1400000US17031220400,"Census Tract 2204, Cook County, Illinois",1206,50238
249,1400000US17031220500,"Census Tract 2205, Cook County, Illinois",1211,69659
250,1400000US17031220601,"Census Tract 2206.01, Cook County, Illinois",756,56875
251,1400000US17031220602,"Census Tract 2206.02, Cook County, Illinois",2368,37312
252,1400000US17031220701,"Census Tract 2207.01, Cook County, Illinois",1195,40557
253,1400000US17031220702,"Census Tract 2207.02, Cook County, Illinois",1323,43116
254,1400000US17031220901,"Census Tract 2209.01, Cook County, Illinois",1035,42083
255,1400000US17031220902,"Census Tract 2209.02, Cook County, Illinois",959,33925
256,1400000US17031221000,"Census Tract 2210, Cook County, Illinois",1002,37069
257,1400000US17031221100,"Census Tract 2211, Cook County, Illinois",2069,40158
258,1400000US17031221200,"Census Tract 2212, Cook County, Illinois",953,55066
259,1400000US17031221300,"Census Tract 2213, Cook County, Illinois",1239,38737
260,1400000US17031221400,"Census Tract 2214, Cook County, Illinois",1098,39625
261,1400000US17031221500,"Census Tract 2215, Cook County, Illinois",1428,40000
262,1400000US17031221600,"Census Tract 2216, Cook County, Illinois",1391,60306
263,1400000US17031222200,"Census Tract 2222, Cook County, Illinois",927,91563
264,1400000US17031222500,"Census Tract 2225, Cook County, Illinois",540,37273
265,1400000US17031222600,"Census Tract 2226, Cook County, Illinois",717,35174
266,1400000US17031222700,"Census Tract 2227, Cook County, Illinois",790,43000
267,1400000US17031222800,"Census Tract 2228, Cook County, Illinois",341,17091
268,1400000US17031222900,"Census Tract 2229, Cook County, Illinois",347,38216
269,1400000US17031230100,"Census Tract 2301, Cook County, Illinois",631,46101
270,1400000US17031230200,"Census Tract 2302, Cook County, Illinois",561,48565
271,1400000US17031230300,"Census Tract 2303, Cook County, Illinois",263,38911
272,1400000US17031230400,"Census Tract 2304, Cook County, Illinois",709,38013
273,1400000US17031230500,"Census Tract 2305, Cook County, Illinois",1017,26399
274,1400000US17031230600,"Census Tract 2306, Cook County, Illinois",1969,35220
275,1400000US17031230700,"Census Tract 2307, Cook County, Illinois",1704,34618
276,1400000US17031230800,"Census Tract 2308, Cook County, Illinois",377,40313
277,1400000US17031230900,"Census Tract 2309, Cook County, Illinois",1805,34988
278,1400000US17031231100,"Census Tract 2311, Cook County, Illinois",406,35000
279,1400000US17031231200,"Census Tract 2312, Cook County, Illinois",1959,23090
280,1400000US17031231500,"Census Tract 2315, Cook County, Illinois",1982,18878
281,1400000US17031240200,"Census Tract 2402, Cook County, Illinois",836,80357
282,1400000US17031240300,"Census Tract 2403, Cook County, Illinois",713,96477
283,1400000US17031240500,"Census Tract 2405, Cook County, Illinois",1108,110750
284,1400000US17031240600,"Census Tract 2406, Cook County, Illinois",498,99700
285,1400000US17031240700,"Census Tract 2407, Cook County, Illinois",567,41250
286,1400000US17031240800,"Census Tract 2408, Cook County, Illinois",700,33200
287,1400000US17031240900,"Census Tract 2409, Cook County, Illinois",404,31579
288,1400000US17031241000,"Census Tract 2410, Cook County, Illinois",794,24167
289,1400000US17031241100,"Census Tract 2411, Cook County, Illinois",1503,49205
290,1400000US17031241200,"Census Tract 2412, Cook County, Illinois",834,66149
291,1400000US17031241300,"Census Tract 2413, Cook County, Illinois",794,79655
292,1400000US17031241400,"Census Tract 2414, Cook County, Illinois",2242,80928
293,1400000US17031241500,"Census Tract 2415, Cook County, Illinois",1309,84205
294,1400000US17031241600,"Census Tract 2416, Cook County, Illinois",1654,60526
295,1400000US17031242000,"Census Tract 2420, Cook County, Illinois",2105,43606
296,1400000US17031242100,"Census Tract 2421, Cook County, Illinois",1704,75833
297,1400000US17031242200,"Census Tract 2422, Cook County, Illinois",1771,70606
298,1400000US17031242300,"Census Tract 2423, Cook County, Illinois",1770,66402
299,1400000US17031242400,"Census Tract 2424, Cook County, Illinois",1385,63569
300,1400000US17031242500,"Census Tract 2425, Cook County, Illinois",1460,43041
301,1400000US17031242600,"Census Tract 2426, Cook County, Illinois",2181,38682
302,1400000US17031242700,"Census Tract 2427, Cook County, Illinois",741,26393
303,1400000US17031242800,"Census Tract 2428, Cook County, Illinois",623,69659
304,1400000US17031242900,"Census Tract 2429, Cook County, Illinois",934,43429
305,1400000US17031243000,"Census Tract 2430, Cook County, Illinois",1029,71838
306,1400000US17031243100,"Census Tract 2431, Cook County, Illinois",818,63302
307,1400000US17031243200,"Census Tract 2432, Cook County, Illinois",802,81184
308,1400000US17031243300,"Census Tract 2433, Cook County, Illinois",1108,58553
309,1400000US17031243400,"Census Tract 2434, Cook County, Illinois",1230,61207
310,1400000US17031243500,"Census Tract 2435, Cook County, Illinois",1643,93048
311,1400000US17031250200,"Census Tract 2502, Cook County, Illinois",850,42692
312,1400000US17031250300,"Census Tract 2503, Cook County, Illinois",1438,31296
313,1400000US17031250400,"Census Tract 2504, Cook County, Illinois",1896,52565
314,1400000US17031250500,"Census Tract 2505, Cook County, Illinois",2772,65486
