GEO_ID,NAME,Num_HH,Med_Inc_HH
1400000US17031190602,"Census Tract 1906.02, Cook County, Illinois",1307,45216
1400000US17031190701,"Census Tract 1907.01, Cook County, Illinois",866,47778
1400000US17031190702,"Census Tract 1907.02, Cook County, Illinois",1222,42018
1400000US17031190800,"Census Tract 1908, Cook County, Illinois",1949,42623
1400000US17031190900,"Census Tract 1909, Cook County, Illinois",608,45529
1400000US17031191000,"Census Tract 1910, Cook County, Illinois",613,37263
1400000US17031191100,"Census Tract 1911, Cook County, Illinois",2073,36472
1400000US17031191200,"Census Tract 1912, Cook County, Illinois",926,32885
1400000US17031191301,"Census Tract 1913.01, Cook County, Illinois",1478,42315
1400000US17031191302,"Census Tract 1913.02, Cook County, Illinois",1242,38855
1400000US17031200100,"Census Tract 2001, Cook County, Illinois",1262,47549
1400000US17031200200,"Census Tract 2002, Cook County, Illinois",1658,47344
1400000US17031200300,"Census Tract 2003, Cook County, Illinois",609,35125
1400000US17031200401,"Census Tract 2004.01, Cook County, Illinois",935,48560
1400000US17031200402,"Census Tract 2004.02, Cook County, Illinois",1139,37420
1400000US17031210100,"Census Tract 2101, Cook County, Illinois",1448,63141
1400000US17031210400,"Census Tract 2104, Cook County, Illinois",932,39167
1400000US17031210501,"Census Tract 2105.01, Cook County, Illinois",1383,35581
1400000US17031210502,"Census Tract 2105.02, Cook County, Illinois",1504,42067
1400000US17031210601,"Census Tract 2106.01, Cook County, Illinois",964,42238
1400000US17031210602,"Census Tract 2106.02, Cook County, Illinois",1612,50181
1400000US17031210700,"Census Tract 2107, Cook County, Illinois",1623,45586
1400000US17031210800,"Census Tract 2108, Cook County, Illinois",401,45144
1400000US17031210900,"Census Tract 2109, Cook County, Illinois",1151,52132
1400000US17031220300,"Census Tract 2203, Cook County, Illinois",994,71625
1400000US17031220400,"Census Tract 2204, Cook County, Illinois",1206,50238
1400000US17031220500,"Census Tract 2205, Cook County, Illinois",1211,69659
1400000US17031220601,"Census Tract 2206.01, Cook County, Illinois",756,56875
1400000US17031220602,"Census Tract 2206.02, Cook County, Illinois",2368,37312
1400000US17031220701,"Census Tract 2207.01, Cook County, Illinois",1195,40557
1400000US17031220702,"Census Tract 2207.02, Cook County, Illinois",1323,43116
1400000US17031220901,"Census Tract 2209.01, Cook County, Illinois",1035,42083
1400000US17031220902,"Census Tract 2209.02, Cook County, Illinois",959,33925
1400000US17031221000,"Census Tract 2210, Cook County, Illinois",1002,37069
1400000US17031221100,"Census Tract 2211, Cook County, Illinois",2069,40158
1400000US17031221200,"Census Tract 2212, Cook County, Illinois",953,55066
1400000US17031221300,"Census Tract 2213, Cook County, Illinois",1239,38737
1400000US17031221400,"Census Tract 2214, Cook County, Illinois",1098,39625
1400000US17031221500,"Census Tract 2215, Cook County, Illinois",1428,40000
1400000US17031221600,"Census Tract 2216, Cook County, Illinois",1391,60306
1400000US17031222200,"Census Tract 2222, Cook County, Illinois",927,91563
1400000US17031222500,"Census Tract 2225, Cook County, Illinois",540,37273
1400000US17031222600,"Census Tract 2226, Cook County, Illinois",717,35174
1400000US17031222700,"Census Tract 2227, Cook County, Illinois",790,43000
1400000US17031222800,"Census Tract 2228, Cook County, Illinois",341,17091
1400000US17031222900,"Census Tract 2229, Cook County, Illinois",347,38216
1400000US17031230100,"Census Tract 2301, Cook County, Illinois",631,46101
1400000US17031230200,"Census Tract 2302, Cook County, Illinois",561,48565
1400000US17031230300,"Census Tract 2303, Cook County, Illinois",263,38911
1400000US17031230400,"Census Tract 2304, Cook County, Illinois",709,38013
1400000US17031230500,"Census Tract 2305, Cook County, Illinois",1017,26399
1400000US17031230600,"Census Tract 2306, Cook County, Illinois",1969,35220
1400000US17031230700,"Census Tract 2307, Cook County, Illinois",1704,34618
1400000US17031230800,"Census Tract 2308, Cook County, Illinois",377,40313
1400000US17031230900,"Census Tract 2309, Cook County, Illinois",1805,34988
1400000US17031231100,"Census Tract 2311, Cook County, Illinois",406,35000
1400000US17031231200,"Census Tract 2312, Cook County, Illinois",1959,23090
1400000US17031231500,"Census Tract 2315, Cook County, Illinois",1982,18878
1400000US17031240200,"Census Tract 2402, Cook County, Illinois",836,80357
1400000US17031240300,"Census Tract 2403, Cook County, Illinois",713,96477
1400000US17031240500,"Census Tract 2405, Cook County, Illinois",1108,110750
1400000US17031240600,"Census Tract 2406, Cook County, Illinois",498,99700
1400000US17031240700,"Census Tract 2407, Cook County, Illinois",567,41250
1400000US17031240800,"Census Tract 2408, Cook County, Illinois",700,33200
1400000US17031240900,"Census Tract 2409, Cook County, Illinois",404,31579
1400000US17031241000,"Census Tract 2410, Cook County, Illinois",794,24167
1400000US17031241100,"Census Tract 2411, Cook County, Illinois",1503,49205
1400000US17031241200,"Census Tract 2412, Cook County, Illinois",834,66149
1400000US17031241300,"Census Tract 2413, Cook County, Illinois",794,79655
1400000US17031241400,"Census Tract 2414, Cook County, Illinois",2242,80928
1400000US17031241500,"Census Tract 2415, Cook County, Illinois",1309,84205
1400000US17031241600,"Census Tract 2416, Cook County, Illinois",1654,60526
1400000US17031242000,"Census Tract 2420, Cook County, Illinois",2105,43606
